Customer Name,Review Text,Rating,Date,Source
Alice J.,"Wow, I just love it when the app deletes my unsaved work. Best feature ever!",5,29-05-2026,App Store
TechBro99,"UI is gorgeous, slick animations. But it drains my battery from 100 to 0 in twenty minutes. Fix this.",3,28-05-2026,Play Store
Ghost User,,1,27-05-2026,Web
Sarah M.,I have to use a third-party converter just to export to PDF. Why isn't this native?,2,27-05-2026,Support Email
,Great.,5,,
HTML Hacker,<p>The new update is <b>terrible</b>.</p> Cannot connect to the server at all. Error 404.,1,26-05-2026,Web
Angry Bob,My subscription auto-renewed even though I cancelled it 3 weeks ago! Support is ignoring my emails. I am calling my bank.,1,26-05-2026,Twitter
Neutral Ned,Honestly it's okay. It does the job. Nothing special but not broken either. Meh.,3,25-05-2026,App Store
Confused Buyer,The shipping was fast but the software activation key in the box was already scratched off?,2,25-05-2026,Amazon
Minimalist,It’s aight.,4,24-05-2026,Play Store
Joker,"Terrible, awful, worst app ever. I hate it. (Just kidding, it's actually my favorite tool of the year!)",5,24-05-2026,App Store
QA Tester,every time i click the export button the screen goes black and my phone restarts. reproducible every single time.,1,23-05-2026,Support Email
Night Owl,I wish there was a dark mode. My eyes are bleeding at 2 AM.,3,23-05-2026,Twitter
Penny Pincher,Pricing is a massive joke. $50 a month for features Competitor Y gives for free? No thanks.,1,22-05-2026,Web
Mixed Bag,"Absolutely fantastic customer service, they resolved my billing issue in 5 minutes. The app itself is kind of buggy though.",4,22-05-2026,App Store
YELLER,APP CRASHES!!!! FIX IT!!!!!,1,21-05-2026,Play Store
Enterprise CEO,I literally cannot do my job because of the server outage. I am losing money by the hour.,1,21-05-2026,Support Email
Disappointed,"I expected more from this brand. The integration with Slack is clunky. Sometimes messages sync, sometimes they don't.",2,20-05-2026,Web
Bot123,Good.,4,20-05-2026,App Store
Whitespace,     ,1,19-05-2026,Play Store
International User,¿Por qué no hay soporte en español? La aplicación es buena pero no entiendo nada.,3,19-05-2026,Web
Fanboy,Perfect. No notes.,5,18-05-2026,App Store
Veteran,I’ve been using this for 4 years. The V2.0 update ruined the workflow. It takes 5 clicks to do what used to take 1. Reverting to old version.,2,18-05-2026,Play Store
Short,Too expensive.,2,17-05-2026,Web
Edge Case,"When I try to upload a file larger than 2GB, it just hangs at 99%. No error message, nothing.",2,17-05-2026,Support Email
Metrics Guy,I love the new dashboard layout! It makes finding my metrics so much easier.,5,16-05-2026,App Store
Fire Hazard,This app literally set my laptop on fire. It overheated my CPU to 100 degrees.,1,16-05-2026,Twitter
Null,Null,1,15-05-2026,Web
NaN,NaN,1,15-05-2026,Web
Ideas Guy,The dashboard is okay but it would be amazing if we could drag and drop widgets to customize the view.,4,14-05-2026,App Store
Karen,Customer service representative Sarah was incredibly rude to me on the phone. She hung up on me when I asked for a refund.,1,14-05-2026,Support Email
Promoter,10/10 would buy again.,5,13-05-2026,App Store
It Works On My Machine,"I don't know what everyone else is complaining about, works perfectly on my M3 Mac.",5,13-05-2026,Web
Shrug,It's okay I guess.,3,12-05-2026,Play Store
Data Analyst,"Please add a feature to export to CSV, Excel is not enough for our data team.",3,12-05-2026,Support Email
A11y Advocate,The text is too small to read on mobile. Needs better accessibility options for visually impaired users.,2,11-05-2026,App Store
Ultimatum,If you don't fix the login bug by tomorrow I am canceling my enterprise contract with 500 seats.,1,11-05-2026,Support Email
Life Changed,"Amazing app, completely changed my life. I can't imagine working without it.",5,10-05-2026,Play Store
Gen Z,Idk.,3,10-05-2026,Web
Laggy,Performance is incredibly laggy since the last patch. Typing text takes a full second to register on screen.,2,09-05-2026,App Store
Panicked,I accidentally deleted my main project. Is there a way to recover it? Please help!,3,09-05-2026,Support Email
Emoji Only,⭐⭐⭐⭐⭐,5,08-05-2026,App Store
Logistics,The package was supposed to arrive Tuesday but I got it on Friday. Box was dented.,2,08-05-2026,Amazon
Simple,Super intuitive.,5,07-05-2026,Play Store
Formal Complaint,"I am writing this review to express my profound disappointment. The software fails to execute even the most basic of tasks, rendering it functionally useless.",1,07-05-2026,Support Email
Beta Tester,I love paying $100 a year to be a beta tester for broken software.,1,06-05-2026,Twitter
Lost,Where do I change my password?,3,06-05-2026,Web
Network Bug,"Works on WiFi, but crashes immediately on 5G cellular data.",2,05-05-2026,App Store
Hater,I hate this company but this specific product is actually brilliant.,4,05-05-2026,Play Store
Student,"Bohot hi bekar UI hai, bilkul samajh nahi aa raha kaise use karu.",1,04-05-2026,Play Store
